"f (Hz)"	"G_exp (S)"	"G_mod (S)"	"B_exp (S)"	"B_mod (S)"	"R_exp (Ohm)"	"R_mod (Ohm)"	"X_exp (Ohm)"	"X_mod (Ohm)"
1.2300e+05	7.1300e-05	7.5170e-05	6.5300e-04	6.6435e-04	1.6524e+02	1.6816e+02	-1.5134e+03	-1.4862e+03	
1.2310e+05	7.4300e-05	7.7545e-05	6.5800e-04	6.7183e-04	1.6945e+02	1.6954e+02	-1.5006e+03	-1.4689e+03	
1.2320e+05	7.7500e-05	8.0056e-05	6.6500e-04	6.7959e-04	1.7290e+02	1.7097e+02	-1.4836e+03	-1.4513e+03	
1.2330e+05	8.0200e-05	8.2715e-05	6.7500e-04	6.8763e-04	1.7357e+02	1.7244e+02	-1.4609e+03	-1.4335e+03	
1.2340e+05	8.2800e-05	8.5534e-05	6.8400e-04	6.9598e-04	1.7442e+02	1.7395e+02	-1.4409e+03	-1.4154e+03	
1.2350e+05	8.5500e-05	8.8525e-05	6.9400e-04	7.0466e-04	1.7487e+02	1.7551e+02	-1.4194e+03	-1.3971e+03	
1.2360e+05	8.8200e-05	9.1703e-05	7.0400e-04	7.1368e-04	1.7521e+02	1.7712e+02	-1.3985e+03	-1.3784e+03	
1.2370e+05	9.1800e-05	9.5084e-05	7.1100e-04	7.2307e-04	1.7862e+02	1.7877e+02	-1.3834e+03	-1.3595e+03	
1.2380e+05	9.5600e-05	9.8686e-05	7.1800e-04	7.3285e-04	1.8221e+02	1.8048e+02	-1.3685e+03	-1.3402e+03	
1.2390e+05	9.9500e-05	1.0253e-04	7.2600e-04	7.4303e-04	1.8530e+02	1.8224e+02	-1.3520e+03	-1.3207e+03	
1.2400e+05	1.0300e-04	1.0664e-04	7.3300e-04	7.5366e-04	1.8799e+02	1.8406e+02	-1.3378e+03	-1.3008e+03	
1.2410e+05	1.0700e-04	1.1103e-04	7.4600e-04	7.6475e-04	1.8839e+02	1.8593e+02	-1.3135e+03	-1.2806e+03	
1.2420e+05	1.1000e-04	1.1574e-04	7.5900e-04	7.7633e-04	1.8702e+02	1.8786e+02	-1.2904e+03	-1.2601e+03	
1.2430e+05	1.1400e-04	1.2080e-04	7.7300e-04	7.8845e-04	1.8672e+02	1.8986e+02	-1.2661e+03	-1.2392e+03	
1.2440e+05	1.1800e-04	1.2623e-04	7.8600e-04	8.0113e-04	1.8679e+02	1.9192e+02	-1.2442e+03	-1.2180e+03	
1.2450e+05	1.2200e-04	1.3209e-04	8.0200e-04	8.1442e-04	1.8539e+02	1.9405e+02	-1.2187e+03	-1.1964e+03	
1.2460e+05	1.2900e-04	1.3842e-04	8.1800e-04	8.2836e-04	1.8811e+02	1.9624e+02	-1.1928e+03	-1.1744e+03	
1.2470e+05	1.3700e-04	1.4526e-04	8.3400e-04	8.4299e-04	1.9179e+02	1.9852e+02	-1.1675e+03	-1.1520e+03	
1.2480e+05	1.4600e-04	1.5268e-04	8.5000e-04	8.5836e-04	1.9629e+02	2.0086e+02	-1.1428e+03	-1.1293e+03	
1.2490e+05	1.5300e-04	1.6073e-04	8.6600e-04	8.7454e-04	1.9784e+02	2.0329e+02	-1.1198e+03	-1.1061e+03	
1.2500e+05	1.6000e-04	1.6951e-04	8.8400e-04	8.9157e-04	1.9825e+02	2.0580e+02	-1.0953e+03	-1.0825e+03	
1.2510e+05	1.6700e-04	1.7908e-04	9.0400e-04	9.0953e-04	1.9761e+02	2.0840e+02	-1.0697e+03	-1.0584e+03	
1.2520e+05	1.7500e-04	1.8956e-04	9.2300e-04	9.2848e-04	1.9829e+02	2.1108e+02	-1.0458e+03	-1.0339e+03	
1.2530e+05	1.8700e-04	2.0105e-04	9.4400e-04	9.4851e-04	2.0192e+02	2.1387e+02	-1.0193e+03	-1.0090e+03	
1.2540e+05	1.9900e-04	2.1370e-04	9.6600e-04	9.6969e-04	2.0457e+02	2.1675e+02	-9.9305e+02	-9.8349e+02	
1.2550e+05	2.1300e-04	2.2766e-04	9.8800e-04	9.9211e-04	2.0851e+02	2.1973e+02	-9.6719e+02	-9.5753e+02	
1.2560e+05	2.2800e-04	2.4312e-04	1.0100e-03	1.0159e-03	2.1267e+02	2.2282e+02	-9.4209e+02	-9.3105e+02	
1.2570e+05	2.4500e-04	2.6028e-04	1.0400e-03	1.0411e-03	2.1461e+02	2.2602e+02	-9.1098e+02	-9.0404e+02	
1.2580e+05	2.6400e-04	2.7941e-04	1.0600e-03	1.0678e-03	2.2124e+02	2.2934e+02	-8.8830e+02	-8.7647e+02	
1.2590e+05	2.8400e-04	3.0081e-04	1.0900e-03	1.0962e-03	2.2384e+02	2.3279e+02	-8.5911e+02	-8.4834e+02	
1.2600e+05	3.0600e-04	3.2484e-04	1.1200e-03	1.1264e-03	2.2700e+02	2.3636e+02	-8.3084e+02	-8.1960e+02	
1.2610e+05	3.2400e-04	3.5194e-04	1.1500e-03	1.1585e-03	2.2697e+02	2.4007e+02	-8.0562e+02	-7.9026e+02	
1.2620e+05	3.4200e-04	3.8261e-04	1.1800e-03	1.1926e-03	2.2659e+02	2.4392e+02	-7.8179e+02	-7.6028e+02	
1.2630e+05	3.6400e-04	4.1749e-04	1.2100e-03	1.2287e-03	2.2799e+02	2.4793e+02	-7.5786e+02	-7.2964e+02	
1.2640e+05	4.0700e-04	4.5734e-04	1.2500e-03	1.2669e-03	2.3551e+02	2.5209e+02	-7.2332e+02	-6.9832e+02	
1.2650e+05	4.5500e-04	5.0306e-04	1.3000e-03	1.3072e-03	2.3985e+02	2.5641e+02	-6.8528e+02	-6.6630e+02	
1.2660e+05	5.0900e-04	5.5578e-04	1.3400e-03	1.3496e-03	2.4773e+02	2.6091e+02	-6.5217e+02	-6.3354e+02	
1.2670e+05	5.6600e-04	6.1685e-04	1.3900e-03	1.3936e-03	2.5128e+02	2.6559e+02	-6.1710e+02	-6.0001e+02	
1.2680e+05	6.2400e-04	6.8789e-04	1.4300e-03	1.4388e-03	2.5634e+02	2.7046e+02	-5.8744e+02	-5.6570e+02	
1.2690e+05	6.9800e-04	7.7088e-04	1.4700e-03	1.4844e-03	2.6358e+02	2.7553e+02	-5.5511e+02	-5.3057e+02	
1.2700e+05	7.8500e-04	8.6813e-04	1.5100e-03	1.5290e-03	2.7103e+02	2.8082e+02	-5.2135e+02	-4.9459e+02	
1.2710e+05	8.8300e-04	9.8230e-04	1.5400e-03	1.5703e-03	2.8020e+02	2.8633e+02	-4.8869e+02	-4.5772e+02	
1.2720e+05	9.9400e-04	1.1163e-03	1.5700e-03	1.6049e-03	2.8787e+02	2.9208e+02	-4.5469e+02	-4.1992e+02	
1.2730e+05	1.1100e-03	1.2731e-03	1.5900e-03	1.6279e-03	2.9520e+02	2.9808e+02	-4.2285e+02	-3.8117e+02	
1.2740e+05	1.2200e-03	1.4549e-03	1.6200e-03	1.6321e-03	2.9663e+02	3.0435e+02	-3.9389e+02	-3.4142e+02	
1.2750e+05	1.3600e-03	1.6623e-03	1.5900e-03	1.6074e-03	3.1067e+02	3.1089e+02	-3.6320e+02	-3.0062e+02	
1.2760e+05	1.5700e-03	1.8923e-03	1.5500e-03	1.5410e-03	3.2255e+02	3.1774e+02	-3.1845e+02	-2.5875e+02	
1.2770e+05	1.8000e-03	2.1361e-03	1.4300e-03	1.4184e-03	3.4059e+02	3.2489e+02	-2.7058e+02	-2.1574e+02	
1.2780e+05	2.0700e-03	2.3757e-03	1.3000e-03	1.2262e-03	3.4645e+02	3.3238e+02	-2.1758e+02	-1.7155e+02	
